,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0,0.4019,Tue Jan 09 02:27:07 +0000 2018,0.838,0.0,0.162,"At the stroke of midnight, same-sex couples in Australia finally said yes: https://t.co/hT2Xzr5idO

???????????????… https://t.co/CX8dyjIjgS",1,@BBCWorld
1,-0.4215,Tue Jan 09 02:13:25 +0000 2018,0.682,0.318,0.0,The people protesting Trump's immigration deadline https://t.co/q1hNpFdUz3,2,@BBCWorld
2,-0.296,Tue Jan 09 02:13:25 +0000 2018,0.804,0.196,0.0,Calais Jungle: Police try to stop new camp forming https://t.co/ybBfR784Rc,3,@BBCWorld
3,0.0,Tue Jan 09 01:59:26 +0000 2018,1.0,0.0,0.0,"RT @BBCNewsAsia: 2018 Winter Olympics: North and South Korea begin high-level talks, the first between the countries in two years: https://…",4,@BBCWorld
4,0.0,Tue Jan 09 01:13:21 +0000 2018,1.0,0.0,0.0,Romania's changing face https://t.co/CVruZyesAm,5,@BBCWorld
5,0.0,Tue Jan 09 00:51:10 +0000 2018,1.0,0.0,0.0,Living with Brian's 'ghost' https://t.co/jToxbPOFeY,6,@BBCWorld
6,-0.4215,Tue Jan 09 00:25:27 +0000 2018,0.763,0.237,0.0,Caruana Galizia case: Malta ex-corruption investigator fears for life https://t.co/qT9VHvZSaL,7,@BBCWorld
7,-0.4767,Tue Jan 09 00:14:58 +0000 2018,0.744,0.256,0.0,US police chief 'kutecop4you' arrested in child sex sting https://t.co/Sxxvw2A3li,8,@BBCWorld
8,-0.128,Mon Jan 08 23:39:18 +0000 2018,0.62,0.209,0.171,Peru Pasamayo: Lorry driver admits causing deadly coach crash https://t.co/pY9BT8XPVB,9,@BBCWorld
9,0.0,Mon Jan 08 23:07:05 +0000 2018,1.0,0.0,0.0,Apple investigated by France for 'planned obsolescence' https://t.co/FtqlxiyTa5,10,@BBCWorld
10,0.0,Mon Jan 08 23:07:05 +0000 2018,1.0,0.0,0.0,Gay marriage: Couple among first to wed in Australia https://t.co/XnwH7WTkQ4,11,@BBCWorld
11,0.0,Mon Jan 08 22:45:45 +0000 2018,1.0,0.0,0.0,Russia probe: Trump lawyers 'in talks over Mueller interview' https://t.co/Q9DL0jnvis,12,@BBCWorld
12,-0.5574,Mon Jan 08 22:31:10 +0000 2018,0.882,0.118,0.0,"RT @BBCSport: Widnes Vikings' Kato Ottio has died at the age of 23.

He was due to travel to the UK next week in preparation for the start…",13,@BBCWorld
13,0.0,Mon Jan 08 22:21:04 +0000 2018,1.0,0.0,0.0,North and South Korea to begin high-level talks https://t.co/LL7q3bnNvF,14,@BBCWorld
14,0.0,Mon Jan 08 22:07:47 +0000 2018,1.0,0.0,0.0,Google sued over 'male discrimination' https://t.co/eu2lUxcE1p,15,@BBCWorld
15,0.0,Mon Jan 08 21:22:53 +0000 2018,1.0,0.0,0.0,Rugby League player Ottio dies aged 23 https://t.co/SvQfsQC5si,16,@BBCWorld
16,-0.3923,Mon Jan 08 21:20:13 +0000 2018,0.744,0.164,0.092,"RT @BBCNorthAmerica: - Sad!
- Bigly? Or big league?
- Covfefe
10 words and phrases invented or popularised by President Trump

https://t.co…",17,@BBCWorld
17,-0.7717,Mon Jan 08 21:09:40 +0000 2018,0.758,0.242,0.0,"RT @BBCSport: Widnes Vikings centre Kato Ottio has died at the age of 23 after suffering ""a sudden health issue"" in training.
https://t.co/…",18,@BBCWorld
18,-0.5719,Mon Jan 08 19:26:48 +0000 2018,0.515,0.485,0.0,'Raw water': A dangerous new health craze? https://t.co/ITwXnTzt2y,19,@BBCWorld
19,0.0,Mon Jan 08 18:44:08 +0000 2018,1.0,0.0,0.0,Ghana bars recruits over stretch marks and bleached skin https://t.co/KQxK3LPS6y,20,@BBCWorld
20,0.4019,Tue Jan 09 02:27:07 +0000 2018,0.838,0.0,0.162,"At the stroke of midnight, same-sex couples in Australia finally said yes: https://t.co/hT2Xzr5idO

???????????????… https://t.co/CX8dyjIjgS",21,@BBCWorld
21,-0.4215,Tue Jan 09 02:13:25 +0000 2018,0.682,0.318,0.0,The people protesting Trump's immigration deadline https://t.co/q1hNpFdUz3,22,@BBCWorld
22,-0.296,Tue Jan 09 02:13:25 +0000 2018,0.804,0.196,0.0,Calais Jungle: Police try to stop new camp forming https://t.co/ybBfR784Rc,23,@BBCWorld
23,0.0,Tue Jan 09 01:59:26 +0000 2018,1.0,0.0,0.0,"RT @BBCNewsAsia: 2018 Winter Olympics: North and South Korea begin high-level talks, the first between the countries in two years: https://…",24,@BBCWorld
24,0.0,Tue Jan 09 01:13:21 +0000 2018,1.0,0.0,0.0,Romania's changing face https://t.co/CVruZyesAm,25,@BBCWorld
25,0.0,Tue Jan 09 00:51:10 +0000 2018,1.0,0.0,0.0,Living with Brian's 'ghost' https://t.co/jToxbPOFeY,26,@BBCWorld
26,-0.4215,Tue Jan 09 00:25:27 +0000 2018,0.763,0.237,0.0,Caruana Galizia case: Malta ex-corruption investigator fears for life https://t.co/qT9VHvZSaL,27,@BBCWorld
27,-0.4767,Tue Jan 09 00:14:58 +0000 2018,0.744,0.256,0.0,US police chief 'kutecop4you' arrested in child sex sting https://t.co/Sxxvw2A3li,28,@BBCWorld
28,-0.128,Mon Jan 08 23:39:18 +0000 2018,0.62,0.209,0.171,Peru Pasamayo: Lorry driver admits causing deadly coach crash https://t.co/pY9BT8XPVB,29,@BBCWorld
